tier,type,prefecture,name,bid_page_url,list_format,enabled,notes
1,pref,北海道,北海道,https://www.pref.hokkaido.lg.jp/category/d003/c006/s012/,html,1,
1,pref,青森県,青森県,https://www.pref.aomori.lg.jp/soshiki/suito/keiri/buppin-top.html,html,1,
1,pref,岩手県,岩手県,https://www.pref.iwate.jp/news/1016275.html,html,1,
1,pref,宮城県,宮城県,https://www.pref.miyagi.jp/soshiki/keiyaku/buppinnzyouhou.html,html,1,
1,pref,秋田県,秋田県,https://www.pref.akita.lg.jp/pages/genre/12231,html,1,
1,pref,山形県,山形県,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,html,1,
1,pref,福島県,福島県,https://www.pref.fukushima.lg.jp/sec/list10-1.html,html,1,
1,pref,茨城県,茨城県,https://www.ibaraki-esports.com/,html,1,
1,pref,栃木県,栃木県,https://www.pref.tochigi.lg.jp/kensei/nyuusatsu/koubo-itaku/index.html,html,1,
1,pref,群馬県,群馬県,https://www.pref.gunma.jp/site/nyuusatsu/756825.html,html,1,
1,pref,埼玉県,埼玉県,https://www.pref.saitama.lg.jp/a0212/kense/tetsuzuki/nyusatsu/buppin/index.html,html,1,
1,pref,千葉県,千葉県,https://www.pref.chiba.lg.jp/shousupo/nyuu-kei/buppin-itaku/nyuusatsukoukoku/e-sports2026.html,html,1,
1,pref,東京都,東京都,https://www.e-procurement.metro.tokyo.lg.jp/indexPbi.jsp,html,0,動的システムのため対象外
1,pref,神奈川県,神奈川県,https://www.pref.kanagawa.jp/search/tag.html?q=29,html,0,動的システムのため対象外
1,pref,新潟県,新潟県,https://www.pref.niigata.lg.jp/life/sub/8/,html,1,
1,pref,富山県,富山県,https://www.pref.toyama.jp/sangyou/nyuusatsu/koubo/bosyuu.html,html,1,
1,pref,石川県,石川県,https://www.pref.ishikawa.lg.jp/kanri/cals-ec/bidding_information.html,html,0,動的システムのため対象外
